pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,fare_amount,trip_distance_km,trip_duration_min,surge_multiplier,pickup_zone,dropoff_zone
2025-10-04 06:01:44,2025-10-04 06:27:03,13.020352,77.557474,12.957031,77.632221,1,248.96,10.732,25.32,1.0,Rajajinagar,Koramangala
2025-10-09 11:00:38,2025-10-09 11:28:12,12.877326,77.572048,13.023753,77.602085,2,340.41,16.604,27.57,1.0,Bannerghatta,Hebbal
2025-10-07 00:20:47,2025-10-07 00:33:47,13.087145,77.589177,13.013447,77.561703,2,200.3,8.718,13.01,1.0,Yelahanka,Rajajinagar
2025-10-01 08:37:05,2025-10-01 08:44:57,12.956569,77.749813,12.975441,77.757532,2,95.69,2.259,7.87,1.0,Whitefield,Whitefield
2025-10-01 03:37:41,2025-10-01 03:52:45,12.967414,77.584438,12.8948,77.55798,1,201.14,8.568,15.07,1.0,MG_Road,Bannerghatta
2025-10-07 08:45:20,2025-10-07 09:13:11,13.005197,77.568545,13.099295,77.589118,1,252.25,10.698,27.85,1.0,Rajajinagar,Yelahanka
2025-10-05 23:10:08,2025-10-05 23:31:16,13.072145,77.594758,13.00756,77.55898,1,204.13,8.161,21.15,1.0,Yelahanka,Rajajinagar
2025-10-07 04:50:56,2025-10-07 04:56:27,13.041346,77.593258,13.0114,77.558689,2,133.44,5.011,5.52,1.0,Hebbal,Rajajinagar
2025-10-05 00:29:28,2025-10-05 00:44:26,13.030497,77.596369,12.930351,77.58839,1,240.0,11.169,14.97,1.0,Hebbal,Jayanagar
2025-10-04 23:30:56,2025-10-04 23:59:18,12.929331,77.598234,13.090773,77.596185,1,542.78,17.953,28.37,1.5,Jayanagar,Yelahanka
2025-10-02 22:05:09,2025-10-02 22:32:55,12.946373,77.631381,13.076465,77.590429,2,318.63,15.131,27.78,1.0,Koramangala,Yelahanka
2025-10-03 00:07:07,2025-10-03 00:32:02,12.968924,77.640158,12.881503,77.573787,1,268.78,12.093,24.92,1.0,Indiranagar,Bannerghatta
2025-10-08 01:51:30,2025-10-08 02:10:59,12.835614,77.667035,12.96956,77.59244,1,333.46,16.947,19.5,1.0,Electronic_City,MG_Road
2025-10-10 11:54:27,2025-10-10 12:00:11,12.96561,77.599347,12.98461,77.597718,1,90.41,2.12,5.74,1.0,MG_Road,MG_Road
2025-10-06 10:25:57,2025-10-06 10:53:23,12.973575,77.610484,12.917306,77.581014,1,196.53,7.025,27.44,1.0,MG_Road,Jayanagar
2025-10-04 07:57:53,2025-10-04 08:46:22,12.880585,77.563982,13.015476,77.546525,1,349.51,15.118,48.5,1.0,Bannerghatta,Rajajinagar
2025-10-03 15:39:17,2025-10-03 15:54:00,13.003392,77.571261,13.063373,77.591112,1,177.21,7.008,14.73,1.0,Rajajinagar,Yelahanka
2025-10-05 14:02:20,2025-10-05 14:22:05,12.977662,77.596884,13.081047,77.597675,1,327.7,11.496,19.75,1.3,MG_Road,Yelahanka
2025-10-01 23:44:02,2025-10-02 00:01:13,13.091973,77.588086,13.003359,77.548779,2,236.8,10.734,17.19,1.0,Yelahanka,Rajajinagar
2025-10-04 00:35:55,2025-10-04 01:00:05,12.87422,77.577602,13.012105,77.560684,1,476.83,15.441,24.18,1.5,Bannerghatta,Rajajinagar
2025-10-08 08:48:05,2025-10-08 10:17:48,13.093614,77.59449,12.838789,77.663176,1,624.03,29.296,89.72,1.0,Yelahanka,Electronic_City
2025-10-06 16:21:31,2025-10-06 16:31:06,12.982432,77.595917,12.972234,77.641787,1,140.85,5.098,9.58,1.0,MG_Road,Indiranagar
2025-10-11 05:40:49,2025-10-11 06:00:52,13.042221,77.59793,12.926553,77.57936,2,275.37,13.018,20.06,1.0,Hebbal,Jayanagar
2025-10-01 03:33:23,2025-10-01 03:51:30,12.96781,77.755822,12.975378,77.639995,3,265.86,12.579,18.12,1.0,Whitefield,Indiranagar
2025-10-08 03:15:49,2025-10-08 03:44:52,12.890107,77.569328,12.971772,77.749208,1,416.18,21.506,29.06,1.0,Bannerghatta,Whitefield
2025-10-08 12:07:03,2025-10-08 12:15:14,12.951025,77.627624,12.917844,77.59038,1,144.32,5.468,8.19,1.0,Koramangala,Jayanagar
